month,zone,division,station_code,loading_in_mt,earning_in_rs_cr,unloading_in_mt
2021-04,CR,BB,BCCK,0.0,0.0,0.1129
2021-04,CR,BB,BRSG,0.0294,6.0174,0.0
2021-04,CR,BB,CRTK,0.0188,3.3909,0.0398
2021-04,CR,BB,DRTA,0.0202,1.5869,0.0345
2021-04,CR,BB,FZSG,0.0713,8.1989,0.0
2021-04,CR,BB,HTSD,0.0032,0.781,0.0214
2021-04,CR,BB,JNPT,0.6441,47.3812,0.5207
2021-04,CR,BB,JSWD,0.3221,33.6995,0.0
2021-04,CR,BB,JSWV,0.007,0.0948,0.0762
2021-04,CR,BB,KFCG,0.0,0.0,0.0136
2021-04,CR,BB,KLMG,0.0093,0.3932,0.1399
2021-04,CR,BB,KSAG,0.0,0.0,0.008
2021-04,CR,BB,KTIG,0.0035,0.5185,0.0009
2021-04,CR,BB,KYN,0.0088,0.2329,0.0252
2021-04,CR,BB,LNL,0.0,0.0,0.0108
2021-04,CR,BB,MBPP,0.0512,14.0471,0.0
2021-04,CR,BB,MILK,0.0002,0.083,0.0825
2021-04,CR,BB,MIOJ,0.0592,6.9739,0.0245
2021-04,CR,BB,NGSM,0.0,0.0,0.043
2021-04,CR,BB,NGTN,0.0,0.0,0.011
2021-04,CR,BB,PEN,0.0,0.0,0.0041
2021-04,CR,BB,PNCS,0.0362,3.3048,0.1262
2021-04,CR,BB,PPDP,0.0,0.0,0.0769
2021-04,CR,BB,TAPG,0.003,0.0758,0.042
2021-04,CR,BB,TPND,0.0027,0.1257,0.0315
2021-04,CR,BB,TVSG,0.153,16.4501,0.0
2021-04,CR,BB,VSPG,0.0,0.0,0.0136
2021-04,CR,BPT,BPTG,0.0,0.0,0.0237
2021-04,CR,BPT,BPTV,0.0,0.0,0.0528
2021-04,CR,BSL,BAU,0.0,0.0,0.0097
2021-04,CR,BSL,BD,0.0,0.0,0.0583
2021-04,CR,BSL,BESG,0.0041,0.1593,0.2262
2021-04,CR,BSL,BGN,0.0022,0.4405,0.0
2021-04,CR,BSL,BPCP,0.2523,26.6983,0.0
2021-04,CR,BSL,BSGS,0.0185,0.9346,0.0082
2021-04,CR,BSL,CSN,0.0021,0.0816,0.0026
2021-04,CR,BSL,DHI,0.0,0.0,0.0135
2021-04,CR,BSL,GDSG,0.0,0.0,0.004
2021-04,CR,BSL,IOC,0.0,0.0,0.0162
2021-04,CR,BSL,JL,0.0,0.0,0.0815
2021-04,CR,BSL,KBSN,0.0122,1.6942,0.0
2021-04,CR,BSL,KMN,0.0039,0.8061,0.0365
2021-04,CR,BSL,KNW,0.0091,1.6846,0.0423
2021-04,CR,BSL,KW,0.0094,1.1196,0.0
2021-04,CR,BSL,LS,0.0453,5.2213,0.0
2021-04,CR,BSL,MFSG,0.0077,0.5179,0.5226
2021-04,CR,BSL,MKU,0.0017,0.0423,0.017
2021-04,CR,BSL,MMR,0.0532,6.0228,0.0129
2021-04,CR,BSL,MQSG,0.0,0.0,0.1777
2021-04,CR,BSL,MZR,0.0,0.0,0.0013
2021-04,CR,BSL,NGN,0.0064,0.2225,0.0238
2021-04,CR,BSL,NK,0.0216,2.6458,0.0828
2021-04,CR,BSL,NR,0.014,1.6978,0.0
2021-04,CR,BSL,OCSB,0.0232,1.0053,0.0688
2021-04,CR,BSL,PC,0.0,0.0,0.0053
2021-04,CR,BSL,POLG,0.0,0.0,0.0673
2021-04,CR,BSL,PS,0.008,1.0988,0.0035
2021-04,CR,BSL,RPLW,0.0,0.0,0.395
2021-04,CR,BSL,SAV,0.0208,1.8966,0.0009
2021-04,CR,NGP,AGSA,0.0015,0.1528,0.0
2021-04,CR,NGP,AMSG,0.005,1.0213,0.003
2021-04,CR,NGP,BROL,0.0,0.0,0.035
2021-04,CR,NGP,BTBR,0.0086,1.1655,0.036
2021-04,CR,NGP,BZU,0.0117,2.2361,0.0319
2021-04,CR,NGP,CD,0.0,0.0,0.013
2021-04,CR,NGP,CESG,0.1012,8.1429,0.0446
2021-04,CR,NGP,CGM,0.4113,30.8741,0.0
2021-04,CR,NGP,CKNI,0.0118,0.8266,0.0
2021-04,CR,NGP,CSID,0.0282,2.7301,0.0
2021-04,CR,NGP,DCSG,0.0211,1.8977,0.0
2021-04,CR,NGP,DLIB,0.046,4.4583,0.053
2021-04,CR,NGP,DMN,0.0,0.0,0.0242
2021-04,CR,NGP,EOLD,0.0,0.0,0.055
2021-04,CR,NGP,FBSG,0.0,0.0,0.0165
2021-04,CR,NGP,FFSG,0.0026,0.0662,0.0
2021-04,CR,NGP,FNSG,0.0,0.0,0.0149
2021-04,CR,NGP,GGS,0.3149,40.1523,0.0
2021-04,CR,NGP,GSG,0.5289,42.0394,0.0
2021-04,CR,NGP,HGT,0.0153,2.477,0.0034
2021-04,CR,NGP,HLSG,0.0379,0.9334,0.0
2021-04,CR,NGP,IOBT,0.0,0.0,0.0217
2021-04,CR,NGP,KECM,0.0931,15.8271,0.0
2021-04,CR,NGP,KRI,0.0,0.0,0.0054
2021-04,CR,NGP,KSWR,0.0068,1.3042,0.0508
2021-04,CR,NGP,MBCB,0.3415,37.7111,0.0
2021-04,CR,NGP,MDIT,0.0,0.0,0.2343
2021-04,CR,NGP,MELG,0.0067,0.8265,0.0151
2021-04,CR,NGP,MJY,0.0013,0.2283,0.0
2021-04,CR,NGP,MKCW,0.0199,1.076,0.0
2021-04,CR,NGP,MLSW,0.0255,1.7872,0.1033
2021-04,CR,NGP,MPBG,0.0154,1.0346,0.088
2021-04,CR,NGP,MTY,0.0067,1.293,0.0
2021-04,CR,NGP,NTPG,0.0,0.0,0.4707
2021-04,CR,NGP,PAR,0.0,0.0,0.0028
2021-04,CR,NGP,PCPK,0.067,5.725,0.0428
2021-04,CR,NGP,PLO,0.0,0.0,0.0023
2021-04,CR,NGP,PMEC,0.0,0.0,0.0483
2021-04,CR,NGP,POSG,0.0025,0.5057,0.0026
2021-04,CR,NGP,PUX,0.0052,0.6269,0.0
2021-04,CR,NGP,PVIT,0.0967,5.3593,0.016
2021-04,CR,NGP,RCXG,0.0218,0.625,0.0
2021-04,CR,NGP,RKSG,0.0588,6.0962,0.0
2021-04,CR,NGP,TAE,0.0013,0.2243,0.0013
2021-04,CR,NGP,UMSG,0.7897,95.2864,0.0
2021-04,CR,NGP,WANI,0.3747,34.9847,0.0
2021-04,CR,PUNE,BRMT,0.021,1.2659,0.0268
2021-04,CR,PUNE,CCH,0.0221,2.2941,0.0
2021-04,CR,PUNE,CWHC,0.0,0.0,0.01
2021-04,CR,PUNE,GHSG,0.0,0.0,0.0041
2021-04,CR,PUNE,GRMT,0.0319,6.5959,0.0799
2021-04,CR,PUNE,HPLC,0.0,0.0,0.0181
2021-04,CR,PUNE,HPLG,0.0131,0.8995,0.0
2021-04,CR,PUNE,KK,0.0095,0.2923,0.005
2021-04,CR,PUNE,KRD,0.0107,2.4898,0.0169
2021-04,CR,PUNE,LNN,0.0,0.0,0.0043
2021-04,CR,PUNE,LONI,0.0,0.0255,0.1412
2021-04,CR,PUNE,MRJ,0.0135,0.3406,0.0849
2021-04,CR,PUNE,PPCP,0.0,0.0,0.0608
2021-04,CR,PUNE,SLI,0.0213,4.0375,0.0416
2021-04,CR,PUNE,SSV,0.0,0.0,0.0654
2021-04,CR,PUNE,STR,0.019,1.3004,0.0254
2021-04,CR,PUNE,UTCU,0.0,0.0,0.1077
2021-04,CR,SUR,ANG,0.0,0.0,0.0384
2021-04,CR,SUR,ARAG,0.0213,4.8588,0.0068
2021-04,CR,SUR,BALE,0.0,0.0,0.0013
2021-04,CR,SUR,BAP,0.0101,0.7066,0.0186
2021-04,CR,SUR,BGVN,0.0013,0.0539,0.0235
2021-04,CR,SUR,CCCT,0.0069,0.5203,0.0851
2021-04,CR,SUR,DD,0.024,3.1031,0.0157
2021-04,CR,SUR,DUD,0.0082,0.2764,0.0
2021-04,CR,SUR,HPSG,0.0,0.0,0.0626
2021-04,CR,SUR,KPG,0.0053,0.5395,0.0027
2021-04,CR,SUR,KWV,0.0151,1.7929,0.0244
2021-04,CR,SUR,LUR,0.0131,1.3426,0.0284
2021-04,CR,SUR,MBSH,0.1177,5.1667,0.1909
2021-04,CR,SUR,PIOP,0.0,0.0,0.008
2021-04,CR,SUR,PSIA,0.0,0.0,0.0269
2021-04,CR,SUR,PSNH,0.0,0.0,0.1279
2021-04,CR,SUR,PVR,0.0027,0.3437,0.0145
2021-04,CR,SUR,RRI,0.004,0.1676,0.0
2021-04,CR,SUR,SUR,0.0029,0.1618,0.0621
2021-04,CR,SUR,TJSP,0.0013,0.2883,0.0225
2021-04,CR,SUR,UMD,0.008,0.4184,0.0213
2021-04,CR,SUR,WADI,0.0082,0.6522,0.0322
2021-04,CR,SUR,WDSG,0.3777,27.3621,0.1312
2021-04,CR,SUR,YL,0.0244,2.9291,0.0
2021-04,CR,SUR,ZCT,0.0,0.0,0.0121
2021-04,DFCR,WDFC,FLN,0.0,0.0,0.0031
2021-04,DFCR,WDFC,REJN,0.0,0.0,0.0032
2021-04,DFCR,WDFC,SMPN,0.0063,0.1777,0.0
2021-04,EC,DDU,AUBR,0.0462,2.9369,0.026
2021-04,EC,DDU,BBU,0.0098,0.6432,0.0027
2021-04,EC,DDU,BPCM,0.0,0.0,0.0836
2021-04,EC,DDU,DDU,0.0023,0.1625,0.0818
2021-04,EC,DDU,GAYA,0.0,0.0,0.0307
2021-04,EC,DDU,JPL,0.0031,0.1629,0.0
2021-04,EC,DDU,MPO,0.0107,0.8013,0.0084
2021-04,EC,DDU,NBCC,0.0,0.0,0.2987
2021-04,EC,DDU,NPGA,0.0,0.0,0.2207
2021-04,EC,DDU,PHE,0.0099,0.9612,0.0411
2021-04,EC,DDU,PSFI,0.0,0.0,0.0092
2021-04,EC,DDU,SEB,0.0,0.0,0.2217
2021-04,EC,DDU,SSM,0.0236,1.0929,0.0526
2021-04,EC,DHN,ATPS,0.0,0.0,0.1552
2021-04,EC,DHN,BCBM,0.2168,25.8901,0.0
2021-04,EC,DHN,BCFG,0.01,1.8035,0.03
2021-04,EC,DHN,BCSK,0.374,42.5433,0.0
2021-04,EC,DHN,BCSR,0.3614,45.8674,0.0
2021-04,EC,DHN,BHKD,0.0081,0.769,0.0753
2021-04,EC,DHN,BHME,0.0,0.0,0.0096
2021-04,EC,DHN,BLCC,0.0445,7.2823,0.0
2021-04,EC,DHN,BLCL,0.0893,19.6174,0.0
2021-04,EC,DHN,BNDG,0.8112,176.8296,0.0
2021-04,EC,DHN,BNF,0.003,0.086,0.0
2021-04,EC,DHN,BRKA,0.0,0.0,0.0153
2021-04,EC,DHN,BSDC,0.2664,44.4369,0.0
2021-04,EC,DHN,BTPB,0.0026,0.294,0.1312
2021-04,EC,DHN,BWWL,0.3746,36.1276,0.0
2021-04,EC,DHN,BXLL,0.0112,0.5442,0.0
2021-04,EC,DHN,CCSP,0.0748,3.9973,0.0
2021-04,EC,DHN,CCSR,0.4458,86.6264,0.0
2021-04,EC,DHN,CHRI,0.1566,12.4494,0.0
2021-04,EC,DHN,CKWP,0.1862,14.4946,0.0
2021-04,EC,DHN,CRP,0.0,0.0,0.0115
2021-04,EC,DHN,CTPS,0.0,0.0,0.1598
2021-04,EC,DHN,DCSK,0.1044,17.2814,0.0
2021-04,EC,DHN,DCSN,0.9934,167.6561,0.0
2021-04,EC,DHN,DDCW,0.0,0.0,0.0116
2021-04,EC,DHN,DHN,0.0535,1.3314,0.0033
2021-04,EC,DHN,DNCS,0.0262,2.6265,0.0
2021-04,EC,DHN,DNSD,0.1153,8.5565,0.0
2021-04,EC,DHN,DTO,0.0,0.0,0.0356
2021-04,EC,DHN,DUGD,0.0075,0.4103,0.0
2021-04,EC,DHN,DWWS,0.6187,98.3399,0.0
2021-04,EC,DHN,FCD,0.0,0.0,0.002
2021-04,EC,DHN,GMIA,0.0,0.0,0.0115
2021-04,EC,DHN,HACG,0.1172,15.705,0.1201
2021-04,EC,DHN,HZBN,0.0,0.0,0.0085
2021-04,EC,DHN,HZD,0.0,0.0,0.0359
2021-04,EC,DHN,JCSP,0.1023,4.8719,0.0
2021-04,EC,DHN,JCSS,0.1151,2.4851,0.0
2021-04,EC,DHN,JCZ,0.2112,22.1181,0.0
2021-04,EC,DHN,JNCP,0.2084,16.8641,0.0
2021-04,EC,DHN,JRGD,0.1382,11.5449,0.0
2021-04,EC,DHN,JSPP,0.0391,6.5968,0.1112
2021-04,EC,DHN,KASN,0.1368,23.451,0.0
2021-04,EC,DHN,KDSK,0.1111,15.8145,0.0
2021-04,EC,DHN,KDSN,0.0803,17.0918,0.0
2021-04,EC,DHN,KGCK,0.1265,11.6518,0.0
2021-04,EC,DHN,KNSP,0.1013,10.5943,0.0
2021-04,EC,DHN,KPSH,0.0,0.0,0.3382
2021-04,EC,DHN,KRSL,0.0485,2.6814,0.0041
2021-04,EC,DHN,KSCK,0.0274,2.9372,0.0
2021-04,EC,DHN,KSDK,0.139,11.1879,0.0
2021-04,EC,DHN,KTWY,0.0294,1.4612,0.0
2021-04,EC,DHN,KUJU,0.0,0.0,0.1094
2021-04,EC,DHN,KWJP,0.458,25.1573,0.0
2021-04,EC,DHN,LAKS,0.0,0.0,0.0038
2021-04,EC,DHN,LTBK,0.004,0.0954,0.0
2021-04,EC,DHN,MDMD,0.138,11.3355,0.0
2021-04,EC,DHN,MLMD,0.1056,8.8777,0.0
2021-04,EC,DHN,MMRC,0.0122,0.5341,0.0
2021-04,EC,DHN,NGRH,0.0,0.0,0.004
2021-04,EC,DHN,OSBK,0.0041,0.4375,0.0
2021-04,EC,DHN,OTPS,0.0,0.0,0.3108
2021-04,EC,DHN,PADH,0.0,0.0,0.0448
2021-04,EC,DHN,PCCS,0.0038,0.2728,0.0438
2021-04,EC,DHN,PICS,0.0,0.0,0.0054
2021-04,EC,DHN,PIDH,0.0,0.0,0.0181
2021-04,EC,DHN,PKA,0.0,0.0,0.0086
2021-04,EC,DHN,PKCI,0.0072,0.6655,0.0193
2021-04,EC,DHN,PLCP,0.5234,68.0491,0.0
2021-04,EC,DHN,PNWP,0.0372,2.1914,0.0
2021-04,EC,DHN,PSBS,0.0272,0.7039,0.0
2021-04,EC,DHN,PSJA,0.1323,11.1916,0.0
2021-04,EC,DHN,PTRU,0.0244,4.765,0.0
2021-04,EC,DHN,RDML,0.1877,21.3264,0.0
2021-04,EC,DHN,RHR,0.0063,0.2943,0.0
2021-04,EC,DHN,RINS,0.0062,0.2902,0.0
2021-04,EC,DHN,RLCM,0.1401,26.3501,0.0
2021-04,EC,DHN,RMBK,0.0,0.0,0.0051
2021-04,EC,DHN,SBKT,0.2577,19.1731,0.0
2021-04,EC,DHN,SCSC,0.0041,0.0905,0.0
2021-04,EC,DHN,SCW,0.0065,0.1545,0.0
2021-04,EC,DHN,SGK,0.0669,3.5035,0.0
2021-04,EC,DHN,SGRL,0.1746,18.2953,0.0064
2021-04,EC,DHN,SKTN,0.0,0.0,0.0
2021-04,EC,DHN,SLCS,0.4788,58.9211,0.0
2021-04,EC,DHN,SLSP,1.2314,215.544,0.0
2021-04,EC,DHN,SNFC,0.1881,10.3915,0.2803
2021-04,EC,DHN,SNMY,0.0,0.0,0.0637
2021-04,EC,DHN,SPUS,0.3665,50.0,0.0
2021-04,EC,DHN,SPXS,0.0445,4.4189,0.0
2021-04,EC,DHN,SSCK,0.298,19.1262,0.0
2021-04,EC,DHN,SSCS,0.0081,2.1062,0.0
2021-04,EC,DHN,SSMN,0.4236,56.7041,0.0
2021-04,EC,DHN,SSTP,0.0,0.0,0.0027
2021-04,EC,DHN,TCSB,0.1333,11.3696,0.0
2021-04,EC,DHN,TELO,0.0,0.0,0.0124
2021-04,EC,DHN,TORI,0.0322,1.6164,0.0117
2021-04,EC,DHN,TTPD,0.0,0.0,0.0113
2021-04,EC,DHN,UCLS,0.1292,7.8958,0.0041
2021-04,EC,DHN,VSTP,0.0,0.0,0.1151
2021-04,EC,DHN,WBCC,0.2712,20.0903,0.0
2021-04,EC,DNR,ARA,0.0013,0.0497,0.0382
2021-04,EC,DNR,BKP,0.0,0.0,0.0012
2021-04,EC,DNR,BSPB,0.0,0.0,0.4522
2021-04,EC,DNR,BXR,0.0027,0.1401,0.0335
2021-04,EC,DNR,DNR,0.0,0.0,0.0661
2021-04,EC,DNR,FCMI,0.0,0.0,0.0053
2021-04,EC,DNR,FCON,0.0031,1.3827,0.0287
2021-04,EC,DNR,FCPD,0.0,0.0,0.0077
2021-04,EC,DNR,FFSB,0.0,0.0,0.0013
2021-04,EC,DNR,FUT,0.0013,0.0381,0.1957
2021-04,EC,DNR,HPSB,0.0,0.0,0.0415
2021-04,EC,DNR,JHD,0.0091,0.3415,0.0195
2021-04,EC,DNR,JMU,0.0,0.0,0.0337
2021-04,EC,DNR,KIUL,0.0078,0.2025,0.0251
2021-04,EC,DNR,MPIB,0.017,0.793,0.0367
2021-04,EC,DNR,SHK,0.1928,7.1838,0.0
2021-04,EC,DNR,UCPD,0.0,0.0,0.1118
2021-04,EC,DNR,WENA,0.0157,0.6036,0.0443
2021-04,EC,DNR,WRS,0.0052,0.1965,0.0421
2021-04,EC,SEE,BGSN,0.0,0.0,0.0068
2021-04,EC,SEE,BJU,0.0078,0.9673,0.0269
2021-04,EC,SEE,BPNA,0.0,0.0,0.052
2021-04,EC,SEE,BTSS,0.0,0.0,0.1289
2021-04,EC,SEE,CSR,0.0,0.0,0.0147
2021-04,EC,SEE,GHZ,0.0059,0.2076,0.1396
2021-04,EC,SEE,GWH,0.0,0.0,0.0065
2021-04,EC,SEE,IORG,0.1003,15.9257,0.0027
2021-04,EC,SEE,KGG,0.0027,0.4014,0.0389
2021-04,EC,SEE,KPGM,0.0,0.0,0.1108
2021-04,EC,SEE,KUE,0.0039,0.1152,0.0
2021-04,EC,SEE,MNE,0.0027,0.3491,0.0161
2021-04,EC,SEE,NNA,0.0,0.0,0.0679
2021-04,EC,SEE,NRPA,0.0,0.0,0.2
2021-04,EC,SEE,NYO,0.0075,0.901,0.0342
2021-04,EC,SEE,SAI,0.0022,0.0557,0.0942
2021-04,EC,SEE,SDG,0.0,0.0,0.0068
2021-04,EC,SEE,SEE,0.0,0.0,0.0007
2021-04,EC,SEE,SMO,0.0131,1.9506,0.0
2021-04,EC,SEE,TIL,0.0,0.0,0.0708
2021-04,EC,SPJ,BDMA,0.0,0.0,0.0054
2021-04,EC,SPJ,BMKI,0.0,0.0,0.0742
2021-04,EC,SPJ,BTH,0.0,0.0,0.0693
2021-04,EC,SPJ,CAA,0.0,0.0,0.088
2021-04,EC,SPJ,DBG,0.0,0.0,0.0562
2021-04,EC,SPJ,DMH,0.0027,0.1225,0.0445
2021-04,EC,SPJ,HIR,0.0,0.0,0.0827
2021-04,EC,SPJ,HPO,0.0104,0.3583,0.0301
2021-04,EC,SPJ,IDBR,0.0121,4.1132,0.1198
2021-04,EC,SPJ,IOSR,0.0,0.0,0.008
2021-04,EC,SPJ,JNR,0.0,0.0,0.1107
2021-04,EC,SPJ,JYG,0.0,0.0,0.0244
2021-04,EC,SPJ,KJI,0.0,0.0,0.0714
2021-04,EC,SPJ,KTI,0.0,0.0,0.0655
2021-04,EC,SPJ,KUMB,0.0,0.0,0.1015
2021-04,EC,SPJ,LSI,0.0,0.0,0.0382
2021-04,EC,SPJ,MHL,0.0,0.0,0.1058
2021-04,EC,SPJ,MKPR,0.0052,0.0642,0.0686
2021-04,EC,SPJ,PRNC,0.0058,0.18,0.0
2021-04,EC,SPJ,RGH,0.0013,0.1685,0.073
2021-04,EC,SPJ,RIGA,0.0,0.0,0.0847
2021-04,EC,SPJ,RXL,0.0,0.0,0.1483
2021-04,EC,SPJ,SBM,0.0,0.0,0.0684
2021-04,EC,SPJ,SHC,0.0013,0.3606,0.0737
2021-04,EC,SPJ,SKI,0.0009,0.0307,0.0774
2021-04,EC,SPJ,SLNA,0.0025,0.1211,0.0
2021-04,EC,SPJ,SMI,0.0,0.0,0.0585
2021-04,EC,SPJ,SRGR,0.0,0.0,0.0305
2021-04,EC,SPJ,SRSI,0.0025,0.2334,0.0
2021-04,EC,SPJ,TMA,0.0,0.0,0.006
2021-04,EC,SPJ,TPSM,0.0,0.0,0.2294
2021-04,EC,SPJ,TRS,0.0,0.0,0.0966
2021-04,ECO,KUR,ACTR,1.1618,126.9062,0.0
2021-04,ECO,KUR,ASGN,0.0104,1.3875,0.0288
2021-04,ECO,KUR,BBMT,0.3428,33.2775,0.0
2021-04,ECO,KUR,BCMT,0.4347,39.4406,0.0
2021-04,ECO,KUR,BHC,0.0,0.0,0.0414
2021-04,ECO,KUR,BSTC,0.2306,14.3988,0.0
2021-04,ECO,KUR,CBSP,1.4757,118.6356,0.2795
2021-04,ECO,KUR,CTC,0.0,0.0,0.1121
2021-04,ECO,KUR,DATR,0.1302,7.8856,0.0
2021-04,ECO,KUR,DBCS,0.3697,22.7989,0.0
2021-04,ECO,KUR,DDIP,0.0,0.0,0.425
2021-04,ECO,KUR,DNKL,0.0,0.0,0.048
2021-04,ECO,KUR,DNM,0.0,0.0,0.0295
2021-04,ECO,KUR,DPCB,1.7683,152.697,1.0268
2021-04,ECO,KUR,FCKR,0.0,0.0,0.0027
2021-04,ECO,KUR,GADH,0.0488,3.4931,0.0041
2021-04,ECO,KUR,GPLC,0.0467,3.8114,0.0
2021-04,ECO,KUR,HLBK,0.0,0.0,0.0127
2021-04,ECO,KUR,HND,0.0202,1.1002,0.0
2021-04,ECO,KUR,HPPK,0.0357,3.6827,0.0
2021-04,ECO,KUR,ICCC,0.0,0.0,0.0487
2021-04,ECO,KUR,IOK,0.0,0.0,0.0025
2021-04,ECO,KUR,IOSP,0.0862,11.9887,0.0
2021-04,ECO,KUR,IPCP,0.0955,12.8636,0.0
2021-04,ECO,KUR,IREL,0.1749,13.0704,0.162
2021-04,ECO,KUR,JJKR,0.0068,0.5031,0.0266
2021-04,ECO,KUR,JNP,0.0077,1.3052,0.0682
2021-04,ECO,KUR,JSLS,0.0448,9.2725,0.1665
2021-04,ECO,KUR,JSPK,0.4703,43.8688,1.1186
2021-04,ECO,KUR,KIS,0.0,0.0,0.0042
2021-04,ECO,KUR,KPXR,0.0027,0.1343,0.0
2021-04,ECO,KUR,KUR,0.0,0.0,0.0164
2021-04,ECO,KUR,LMGT,0.5215,19.0238,0.0
2021-04,ECO,KUR,LRST,0.0152,0.5173,0.0
2021-04,ECO,KUR,LSST,0.3768,11.451,0.0
2021-04,ECO,KUR,MBMB,0.5057,78.4279,0.9847
2021-04,ECO,KUR,MCS,0.0,0.0,0.0953
2021-04,ECO,KUR,MFPB,0.0,0.0,0.0238
2021-04,ECO,KUR,MGBK,0.0242,0.516,0.3361
2021-04,ECO,KUR,MGCT,0.0488,3.4676,0.0
2021-04,ECO,KUR,MNKT,0.0,0.0,0.7636
2021-04,ECO,KUR,MOIB,0.0,0.0,0.0687
2021-04,ECO,KUR,NEYT,0.0,0.0089,0.1394
2021-04,ECO,KUR,NINS,0.0081,0.8512,0.0
2021-04,ECO,KUR,NRG,0.0,0.0,0.0027
2021-04,ECO,KUR,NYG,0.7017,64.5062,0.0
2021-04,ECO,KUR,PICP,0.0027,0.455,0.2261
2021-04,ECO,KUR,PMIP,0.0837,14.5232,0.0
2021-04,ECO,KUR,PPAP,0.3316,23.5255,1.9528
2021-04,ECO,KUR,PPGP,0.1794,22.4851,0.0
2021-04,ECO,KUR,PPSM,0.0,0.0,0.1711
2021-04,ECO,KUR,PPTG,0.0,0.0,0.2908
2021-04,ECO,KUR,PPTP,0.137,6.4352,0.0
2021-04,ECO,KUR,PRNR,0.1057,8.3367,0.0
2021-04,ECO,KUR,PRPL,0.0483,8.0734,0.0
2021-04,ECO,KUR,RCLH,0.0191,0.9842,0.06
2021-04,ECO,KUR,RJGR,0.0,0.0,0.0147
2021-04,ECO,KUR,SBCT,1.5533,134.8891,0.0
2021-04,ECO,KUR,SCPM,0.0202,2.7705,0.3388
2021-04,ECO,KUR,SKND,0.0244,2.4407,0.2202
2021-04,ECO,KUR,SLRD,0.0032,0.2071,0.0
2021-04,ECO,KUR,SSMT,0.0685,2.1716,0.0
2021-04,ECO,KUR,TMKA,0.0204,2.1018,0.0
2021-04,ECO,KUR,TSLJ,0.2578,32.5725,0.8176
2021-04,ECO,SBP,BLGR,0.0123,1.2563,0.008
2021-04,ECO,SBP,BLSN,0.0338,4.6456,0.003
2021-04,ECO,SBP,BPSL,0.1369,13.9706,0.6066
2021-04,ECO,SBP,BRGA,0.0211,3.2826,0.013
2021-04,ECO,SBP,CFDS,0.0837,6.8404,0.0562
2021-04,ECO,SBP,DJX,0.0079,1.6641,0.0013
2021-04,ECO,SBP,DKLU,0.0123,0.4053,0.0
2021-04,ECO,SBP,HIWS,0.0083,0.1782,0.0283
2021-04,ECO,SBP,IMFT,0.0,0.0,0.0164
2021-04,ECO,SBP,JNRD,0.0079,1.4015,0.0064
2021-04,ECO,SBP,KBJ,0.0026,0.436,0.0056
2021-04,ECO,SBP,KMK,0.0096,1.4972,0.0
2021-04,ECO,SBP,KRAR,0.0053,0.9723,0.0078
2021-04,ECO,SBP,KSNG,0.0132,2.47,0.0352
2021-04,ECO,SBP,MAAL,0.0191,0.9494,0.2298
2021-04,ECO,SBP,MAIL,0.0041,0.483,0.0
2021-04,ECO,SBP,MANE,0.0,0.0,0.0063
2021-04,ECO,SBP,MAVB,0.0955,4.4281,0.601
2021-04,ECO,SBP,MVAA,0.1626,10.8697,0.3239
2021-04,ECO,SBP,SBPY,0.029,4.03,0.0136
2021-04,ECO,SBP,SEBD,0.0,0.0,0.6757
2021-04,ECO,SBP,SMER,0.078,7.8176,0.0638
2021-04,ECO,SBP,SSN,0.0037,0.1157,0.0
2021-04,ECO,WAT,AGZ,0.0,0.0,0.0
2021-04,ECO,WAT,BDXX,0.0,0.0,0.1094
2021-04,ECO,WAT,CCJS,0.0585,8.3313,0.0648
2021-04,ECO,WAT,CFVS,0.1631,21.0092,0.0
2021-04,ECO,WAT,CHE,0.0264,4.6247,0.0032
2021-04,ECO,WAT,CPP,0.0124,1.1925,0.0
2021-04,ECO,WAT,HPCV,0.1191,17.7678,0.0
2021-04,ECO,WAT,JDB,0.0091,1.2772,0.0
2021-04,ECO,WAT,JYP,0.016,2.0929,0.017
2021-04,ECO,WAT,KKGM,0.1371,6.8678,0.0
2021-04,ECO,WAT,KPL,0.0083,0.7932,0.0187
2021-04,ECO,WAT,KRDL,0.123,15.616,0.0
2021-04,ECO,WAT,KRPU,0.0,0.0,0.0019
2021-04,ECO,WAT,MGPV,1.1444,147.5534,0.5029
2021-04,ECO,WAT,MUAT,0.1497,19.0574,0.1105
2021-04,ECO,WAT,NALW,0.0184,1.0979,0.0814
2021-04,ECO,WAT,NLOD,0.1848,19.6638,0.2253
2021-04,ECO,WAT,NMDB,1.0291,127.0203,0.0
2021-04,ECO,WAT,NMVK,0.7293,91.4964,0.0
2021-04,ECO,WAT,PGFV,0.0219,0.9811,0.0
2021-04,ECO,WAT,PGSA,0.0,0.0,0.0225
2021-04,ECO,WAT,PSPG,0.0053,0.6053,0.0204
2021-04,ECO,WAT,RGDA,0.0055,0.7247,0.0131
2021-04,ECO,WAT,SCM,0.0019,0.096,0.0
2021-04,ECO,WAT,STDV,0.0,0.0,0.7745
2021-04,ECO,WAT,TKRI,0.0,0.0,0.0
2021-04,ECO,WAT,VBL,0.0201,2.685,0.0
2021-04,ECO,WAT,VGSD,0.1875,23.8501,0.0
2021-04,ECO,WAT,VNCW,0.0,0.0,0.0163
2021-04,ECO,WAT,VPMS,0.0,0.0,0.2203
2021-04,ECO,WAT,VPTG,0.0,0.0,0.609
2021-04,ECO,WAT,VSPS,0.3767,56.9068,1.339
